waveform	Gen		Ch1	
t0	12.05.2019  14:37:05,139865		12.05.2019  14:37:05,139852	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:05,144985	3,818020E-3	12.05.2019  14:37:05,144972	1,867563E-3
12.05.2019  14:37:05,145065	2,517715E-3	12.05.2019  14:37:05,145052	1,867563E-3
12.05.2019  14:37:05,145145	3,167868E-3	12.05.2019  14:37:05,145132	1,542486E-3
12.05.2019  14:37:05,145225	3,492944E-3	12.05.2019  14:37:05,145212	1,867563E-3
12.05.2019  14:37:05,145305	3,492944E-3	12.05.2019  14:37:05,145292	1,217410E-3
12.05.2019  14:37:05,145385	3,167868E-3	12.05.2019  14:37:05,145372	2,192639E-3
12.05.2019  14:37:05,145465	3,492944E-3	12.05.2019  14:37:05,145452	1,867563E-3
12.05.2019  14:37:05,145545	2,842791E-3	12.05.2019  14:37:05,145532	1,867563E-3
12.05.2019  14:37:05,145625	3,167868E-3	12.05.2019  14:37:05,145612	1,867563E-3
12.05.2019  14:37:05,145705	3,167868E-3	12.05.2019  14:37:05,145692	1,542486E-3
12.05.2019  14:37:05,145785	3,492944E-3	12.05.2019  14:37:05,145772	2,192639E-3
12.05.2019  14:37:05,145865	4,143096E-3	12.05.2019  14:37:05,145852	1,867563E-3
12.05.2019  14:37:05,145945	3,167868E-3	12.05.2019  14:37:05,145932	1,867563E-3
12.05.2019  14:37:05,146025	3,167868E-3	12.05.2019  14:37:05,146012	1,217410E-3
12.05.2019  14:37:05,146105	3,492944E-3	12.05.2019  14:37:05,146092	8,923338E-4
12.05.2019  14:37:05,146185	2,842791E-3	12.05.2019  14:37:05,146172	1,542486E-3
12.05.2019  14:37:05,146265	3,167868E-3	12.05.2019  14:37:05,146252	1,867563E-3
12.05.2019  14:37:05,146345	3,167868E-3	12.05.2019  14:37:05,146332	2,192639E-3
12.05.2019  14:37:05,146425	2,842791E-3	12.05.2019  14:37:05,146412	1,867563E-3
12.05.2019  14:37:05,146505	3,492944E-3	12.05.2019  14:37:05,146492	1,542486E-3
12.05.2019  14:37:05,146585	3,492944E-3	12.05.2019  14:37:05,146572	1,867563E-3
12.05.2019  14:37:05,146665	3,492944E-3	12.05.2019  14:37:05,146652	1,542486E-3
12.05.2019  14:37:05,146745	3,818020E-3	12.05.2019  14:37:05,146732	1,542486E-3
12.05.2019  14:37:05,146825	3,492944E-3	12.05.2019  14:37:05,146812	1,542486E-3
12.05.2019  14:37:05,146905	2,842791E-3	12.05.2019  14:37:05,146892	1,867563E-3
12.05.2019  14:37:05,146985	3,492944E-3	12.05.2019  14:37:05,146972	1,867563E-3
12.05.2019  14:37:05,147065	3,167868E-3	12.05.2019  14:37:05,147052	1,542486E-3
12.05.2019  14:37:05,147145	3,167868E-3	12.05.2019  14:37:05,147132	1,217410E-3
12.05.2019  14:37:05,147225	2,517715E-3	12.05.2019  14:37:05,147212	1,867563E-3
12.05.2019  14:37:05,147305	3,492944E-3	12.05.2019  14:37:05,147292	2,192639E-3
12.05.2019  14:37:05,147385	2,842791E-3	12.05.2019  14:37:05,147372	1,867563E-3
12.05.2019  14:37:05,147465	2,842791E-3	12.05.2019  14:37:05,147452	2,517715E-3
12.05.2019  14:37:05,147545	3,492944E-3	12.05.2019  14:37:05,147532	1,542486E-3
12.05.2019  14:37:05,147625	3,167868E-3	12.05.2019  14:37:05,147612	1,867563E-3
12.05.2019  14:37:05,147705	3,492944E-3	12.05.2019  14:37:05,147692	1,867563E-3
12.05.2019  14:37:05,147785	3,492944E-3	12.05.2019  14:37:05,147772	1,542486E-3
12.05.2019  14:37:05,147865	3,492944E-3	12.05.2019  14:37:05,147852	1,867563E-3
12.05.2019  14:37:05,147945	2,842791E-3	12.05.2019  14:37:05,147932	2,517715E-3
12.05.2019  14:37:05,148025	3,492944E-3	12.05.2019  14:37:05,148012	1,217410E-3
12.05.2019  14:37:05,148105	3,167868E-3	12.05.2019  14:37:05,148092	1,867563E-3
12.05.2019  14:37:05,148185	3,492944E-3	12.05.2019  14:37:05,148172	1,542486E-3
12.05.2019  14:37:05,148265	3,492944E-3	12.05.2019  14:37:05,148252	2,192639E-3
12.05.2019  14:37:05,148345	2,517715E-3	12.05.2019  14:37:05,148332	1,542486E-3
12.05.2019  14:37:05,148425	2,842791E-3	12.05.2019  14:37:05,148412	1,542486E-3
12.05.2019  14:37:05,148505	3,167868E-3	12.05.2019  14:37:05,148492	1,217410E-3
12.05.2019  14:37:05,148585	3,492944E-3	12.05.2019  14:37:05,148572	1,867563E-3
12.05.2019  14:37:05,148665	3,167868E-3	12.05.2019  14:37:05,148652	1,542486E-3
12.05.2019  14:37:05,148745	3,167868E-3	12.05.2019  14:37:05,148732	1,867563E-3
12.05.2019  14:37:05,148825	2,517715E-3	12.05.2019  14:37:05,148812	2,192639E-3
12.05.2019  14:37:05,148905	3,167868E-3	12.05.2019  14:37:05,148892	1,867563E-3
12.05.2019  14:37:05,148985	2,517715E-3	12.05.2019  14:37:05,148972	1,867563E-3
12.05.2019  14:37:05,149065	3,167868E-3	12.05.2019  14:37:05,149052	1,867563E-3
12.05.2019  14:37:05,149145	3,492944E-3	12.05.2019  14:37:05,149132	1,217410E-3
12.05.2019  14:37:05,149225	2,842791E-3	12.05.2019  14:37:05,149212	1,542486E-3
12.05.2019  14:37:05,149305	3,492944E-3	12.05.2019  14:37:05,149292	2,192639E-3
12.05.2019  14:37:05,149385	3,167868E-3	12.05.2019  14:37:05,149372	1,867563E-3
12.05.2019  14:37:05,149465	3,167868E-3	12.05.2019  14:37:05,149452	1,542486E-3
12.05.2019  14:37:05,149545	3,492944E-3	12.05.2019  14:37:05,149532	2,192639E-3
