waveform	Gen		Ch1	
t0	12.05.2019  14:37:57,033857		12.05.2019  14:37:57,033845	
delta t	8,000000E-5		8,000000E-5	

time[0]	Gen	time[1]	Ch1
12.05.2019  14:37:57,038977	3,167868E-3	12.05.2019  14:37:57,038965	2,517715E-3
12.05.2019  14:37:57,039057	3,167868E-3	12.05.2019  14:37:57,039045	8,923338E-4
12.05.2019  14:37:57,039137	3,167868E-3	12.05.2019  14:37:57,039125	1,867563E-3
12.05.2019  14:37:57,039217	2,517715E-3	12.05.2019  14:37:57,039205	8,923338E-4
12.05.2019  14:37:57,039297	3,167868E-3	12.05.2019  14:37:57,039285	2,192639E-3
12.05.2019  14:37:57,039377	3,492944E-3	12.05.2019  14:37:57,039365	2,192639E-3
12.05.2019  14:37:57,039457	3,167868E-3	12.05.2019  14:37:57,039445	1,867563E-3
12.05.2019  14:37:57,039537	2,842791E-3	12.05.2019  14:37:57,039525	1,867563E-3
12.05.2019  14:37:57,039617	3,167868E-3	12.05.2019  14:37:57,039605	2,517715E-3
12.05.2019  14:37:57,039697	3,167868E-3	12.05.2019  14:37:57,039685	1,217410E-3
12.05.2019  14:37:57,039777	3,167868E-3	12.05.2019  14:37:57,039765	8,923338E-4
12.05.2019  14:37:57,039857	3,167868E-3	12.05.2019  14:37:57,039845	2,192639E-3
12.05.2019  14:37:57,039937	3,818020E-3	12.05.2019  14:37:57,039925	1,542486E-3
12.05.2019  14:37:57,040017	4,468173E-3	12.05.2019  14:37:57,040005	8,923338E-4
12.05.2019  14:37:57,040097	3,492944E-3	12.05.2019  14:37:57,040085	2,192639E-3
12.05.2019  14:37:57,040177	3,492944E-3	12.05.2019  14:37:57,040165	1,542486E-3
12.05.2019  14:37:57,040257	3,492944E-3	12.05.2019  14:37:57,040245	1,867563E-3
12.05.2019  14:37:57,040337	3,167868E-3	12.05.2019  14:37:57,040325	1,542486E-3
12.05.2019  14:37:57,040417	3,818020E-3	12.05.2019  14:37:57,040405	1,542486E-3
12.05.2019  14:37:57,040497	3,167868E-3	12.05.2019  14:37:57,040485	1,542486E-3
12.05.2019  14:37:57,040577	4,143096E-3	12.05.2019  14:37:57,040565	2,192639E-3
12.05.2019  14:37:57,040657	2,842791E-3	12.05.2019  14:37:57,040645	1,867563E-3
12.05.2019  14:37:57,040737	3,167868E-3	12.05.2019  14:37:57,040725	2,192639E-3
12.05.2019  14:37:57,040817	2,842791E-3	12.05.2019  14:37:57,040805	1,867563E-3
12.05.2019  14:37:57,040897	3,818020E-3	12.05.2019  14:37:57,040885	2,192639E-3
12.05.2019  14:37:57,040977	3,818020E-3	12.05.2019  14:37:57,040965	1,867563E-3
12.05.2019  14:37:57,041057	3,167868E-3	12.05.2019  14:37:57,041045	1,542486E-3
12.05.2019  14:37:57,041137	3,167868E-3	12.05.2019  14:37:57,041125	1,542486E-3
12.05.2019  14:37:57,041217	3,492944E-3	12.05.2019  14:37:57,041205	1,542486E-3
12.05.2019  14:37:57,041297	2,842791E-3	12.05.2019  14:37:57,041285	2,192639E-3
12.05.2019  14:37:57,041377	3,492944E-3	12.05.2019  14:37:57,041365	1,542486E-3
12.05.2019  14:37:57,041457	2,842791E-3	12.05.2019  14:37:57,041445	1,217410E-3
12.05.2019  14:37:57,041537	2,842791E-3	12.05.2019  14:37:57,041525	1,217410E-3
12.05.2019  14:37:57,041617	2,192639E-3	12.05.2019  14:37:57,041605	1,867563E-3
12.05.2019  14:37:57,041697	2,517715E-3	12.05.2019  14:37:57,041685	2,192639E-3
12.05.2019  14:37:57,041777	3,167868E-3	12.05.2019  14:37:57,041765	2,517715E-3
12.05.2019  14:37:57,041857	2,517715E-3	12.05.2019  14:37:57,041845	2,517715E-3
12.05.2019  14:37:57,041937	2,842791E-3	12.05.2019  14:37:57,041925	2,192639E-3
12.05.2019  14:37:57,042017	3,492944E-3	12.05.2019  14:37:57,042005	2,192639E-3
12.05.2019  14:37:57,042097	2,842791E-3	12.05.2019  14:37:57,042085	2,192639E-3
12.05.2019  14:37:57,042177	3,492944E-3	12.05.2019  14:37:57,042165	1,542486E-3
12.05.2019  14:37:57,042257	2,842791E-3	12.05.2019  14:37:57,042245	1,867563E-3
12.05.2019  14:37:57,042337	3,167868E-3	12.05.2019  14:37:57,042325	1,217410E-3
12.05.2019  14:37:57,042417	3,492944E-3	12.05.2019  14:37:57,042405	2,192639E-3
12.05.2019  14:37:57,042497	3,492944E-3	12.05.2019  14:37:57,042485	1,867563E-3
12.05.2019  14:37:57,042577	3,167868E-3	12.05.2019  14:37:57,042565	1,542486E-3
12.05.2019  14:37:57,042657	3,492944E-3	12.05.2019  14:37:57,042645	1,867563E-3
12.05.2019  14:37:57,042737	2,842791E-3	12.05.2019  14:37:57,042725	2,192639E-3
